id,correct,date,naive_date_confidence,total,naive_total_confidence,text
4,True,2017-02-27 12:29:14,0.6876666666666668,6.74,0.6679666666666666,"CRF-CITY LA ROCHELLE
33 RUE DE LA SCIERIE
17000 LA ROCHELLE
Tel : 05.46.27.02.12
DESCRIPTION QTE MONTANT
*85G VERRINE TIRANI 2.01€
*PARMENTIER CANARD 4.73€
2 ARTICLE(S) TOTAL A PAYER 6.74€
CB EMV SANS CONTACT EUR 6.74€
Si vous aviez la carte fidélité,
vous auriez cumulé 0.30€ sur
votre compte fidélité Carrefour.
Détails:
Remise produits fide 0.30€
0006 004 000122 27/02/2017 12:24:45
MERCI DE VOTRE VISITE
A BIENTOT
"
5,True,2017-02-26 11:10:32,0.6894333333333333,11.16,0.6679333333333333,"city
CRF-CITY LA ROCHELLE
33 RUE DE LA SCIERIE
17000 LA ROCHELLE
Tel : 05.46.27.02.12
DESCRIPTION QTE MONTANT
*205G  DESSERT NOIR 2.12€
*363G  GAUFRE CHOCO 3.00€
*40CL FLEURETTE 30% 1.85€
*6 OEUF PLEIN AIR G 1.75€
*KERISAC CIDRE BRUT 2.44€
5 ARTICLE(S) TOTAL A PAYER 11.16€*
CB EMV SANS CONTACT EUR 11.16€*
Si vous aviez la carte fidélité,
vous auriez cumulé 0.09€ sur
votre compte fidélité Carrefour.
Détails:
5% produits Carrefou 0.09€
0004 004 000105 26/02/2017 11:10:32
MERCI DE VOTRE VISITE
A BIENTOT
"
6,True,2017-02-25 11:05:35,0.7041666666666667,6.99,0.6681333333333334,"CRF-CITY LA ROCHELLE
33 RUE DE LA SCIERIE
17000 LA ROCHELLE
Tel / 05.46.27.02.12
DESCR?PTION QTE MONTANT
*150G SDW TR.POL PL 2.32€
*180H CHIPS ONDULEE 1.44€
*190G SDW TR. JBN C 3.23€
3 ARTICLES(S) TOTAL A PAYER 6.99€
CB EMV SANS CONTACT EUR 6.99€
0005 003 000009 25/02/2017 11:05:35
MERCI DE VOTRE VISITE
A BIENTOT
"
9,True,2016-05-23 12:29:03,0.6976333333333333,5.04,0.6681,"CRF-CITY LA ROCHELLE
33 RUE DE LA SCIERIE
17000 LA ROCHELLE
Tel : 05.46.27.02.12
DESCRIPTION QTE MONTANT
320G SLD.MANHATTAN 4.14€
POMME GOLDEN GROSSE 0.90€
0.3600kg x 2.50€/kg
2 ARTICLE(S) TOTAL A PAYER 5.04€
CARTE BANCAIRE EMV EUR 5.04€
0003 004 000110 23/05/2016 12:29:03
MERCI DE VOTRE VISITE
A BIENTOT
"
10,True,2016-04-22 20:25:13,0.6856333333333333,14.46,0.6678333333333333,"Carrefour
city
CRF-CITY LA ROCHELLE
33 RUE DE LA SCIERIE
17000 LA ROCHELLE
Tel : 05.46.27.02.12
DESCRIPTION QTE MONTANT
400G TRESOR DUO CH 3.31€
6 OEUF GROS EXTRA 1.25€
BANANE BIO 1.58€
0.7182 X 2.20€
BISCOT.MULTI CEREA 1.28€
LT 1/2E MATIN LEGE 2x 1.51 3.02€
PIZZA TONNO RISTOR 2.57€
YAF PANIER FRAM/MU 1.45€
8 ARTICLE(S) TOTAL A PAYER 14.46€
CARTE BANCAIRE EMV EUR 14.46€
Si vous aviez la carte fidélité,
vous auriez cumulé 0.06€ sur
votre compte fidélité Carrefour.
Détails:
BISCOT.MULTI CEREA 0.06€
0001 002 000261 22/04/2016 20:25:13
MERCI DE VOTRE VISITE
A BIENTOT"
15,True,2016-10-25 19:15:57,0.6874666666666667,12.07,0.6680333333333334,"Carrefour
CRF-CITY LA ROCHELLE
33 RUE DE LA SCIERIE
17000 LA ROCHELLE
Tel : 05.46.27.02.12
DESCRIPTION QTE MONTANT
2000 SCH0K0B0NS Kl 3-12€
75 CAB ANJ RSE MDD 4.15€
PREFOU CHEVRE 4.80€
3 ARTICLE(S) TOTAL A PAYER 12.07€
CARTE BANCAIRE EMV EUR 12.07€
0012 004 000419 25/10/2016 19:15:57
MERCI DE VOTRE VISITE
A BIENTOT
"
16,True,2016-12-20 19:39:08,0.6936,4.87,0.6680666666666666,"city
CRF-CITY LA ROCHELLE
33 RUE DE LA SCIERIE
17000 LA ROCHELLE
Tel : 05.46.27.02.12
DESCRIPTION QTE MONTANT
*KINDE? SCHOKOBONS 4.87€
1 ARTICLE(S) TOTAL A PAYER 4.87€
ESPECES EUR 10.00€
Votre Monnaie -5.13€
0006 003 000136 20/12/2016 19:39:08
MERCI DE VOIRE VISITE
A BIENTOT
"
17,True,2016-07-28 12:59:10,0.7051333333333333,3.82,0.6682666666666667,"Carrefour city
CRF-CITY LA ROCHELLE
33 RUE DE LA SCIERIE
17000 LA ROCHELLE
Tel : 05.46.27.02.12
DESCRIPTION QTE MONTANT
SALADE PATE JB0N 3.82€
1 ARTICLE(S) TOTAL A PAYER 3.82€
CARTE BANCAIRE EMV EUR 3.82€
0008 004 000162 28/07/2016 12:59:10
MERCI DE VOTRE VISITE
A BIENTOT
"
19,True,2016-08-24 12:02:48,0.7041333333333334,2.9,0.6680666666666666,"Carrefour
city
CRF-CITY LA ROCHELLE
33 RUE DE LA SCIERIE
17000 LA ROCHELLE
Tel : 05.46.27.02.12
DESCRIPTION QTE MONTANT
250G  SALADE PARISI 2.90€
1 ARTICLE(S) TOTAL A PAYER 2.90€
CB EMV SANS CONTACT EUR 2.90€
Si vous aviez la carte fidelité,
vous auriez cumulé 0.15€ sur
votre compte fidélité Carrefour.
Détails:
250G SALADE PARISI 0.15€
0003 003 000120 24/08/2016 12:02:48
MERCI DE VOTRE VISITE
A BIENTOT
"
23,True,2016-06-09 20:00:19,0.6908666666666666,7.62,0.6683666666666667,"Carrefour
city
CRF-CITY LA ROCHELLE
33 RUE DE LA SCIERIE
17000 LA ROCHELLE
Tel : 05.46,27.02,12
DESCRIPTION QTE MONTANT
D.PIZZA 4 FORMAGGI 4.90€
PIZZA 4SAIS0NS CRF 2.72€
2 ARTICLES) TOTAL A PAYER 7.62€
CARTE BANCAIRE EMV EUR 7.62€
0008 002 000282 09/06/2016 20:00:19
MERCI DE VOTRE VISITE
A BIENTOT
"
